Model,Embedding,Classifier,Accuracy,Precision,Recall,F1
DS_content_modelsize100epoch10,Content only,Decision Tree,0.7772020725388601,0.8676470588235294,0.8251748251748252,0.8458781362007168
DS_content_modelsize100epoch10,Content only,Gaussian Naive Bayes,0.7461139896373057,0.8671875,0.7762237762237763,0.8191881918819188
DS_content_modelsize100epoch10,Content only,Random Forest,0.8549222797927462,0.8402366863905325,0.993006993006993,0.9102564102564102
DS_content_modelsize100epoch10,Content only,Ensemble,0.844559585492228,0.8424242424242424,0.972027972027972,0.9025974025974024
DS_content_modelsize100epoch10,Content only,Neural Net,0.8549222797927462,0.8859060402684564,0.9230769230769232,0.904109589041096
DS_tags_modelsize100epoch10,Tags only,Nearest Neighbors,0.8393782383419689,0.85,0.951048951048951,0.8976897689768978
DS_tags_modelsize100epoch10,Tags only,SVM RBF,0.8341968911917098,0.8323353293413174,0.972027972027972,0.896774193548387
DS_tags_modelsize100epoch10,Tags only,Decision Tree,0.7823834196891192,0.8258064516129032,0.8951048951048951,0.8590604026845637
DS_tags_modelsize100epoch10,Tags only,Gaussian Naive Bayes,0.6113989637305699,0.8148148148148148,0.6153846153846154,0.701195219123506
DS_tags_modelsize100epoch10,Tags only,Random Forest,0.8601036269430051,0.8536585365853658,0.9790209790209792,0.9120521172638436
DS_tags_modelsize100epoch10,Tags only,Ensemble,0.844559585492228,0.8466257668711656,0.965034965034965,0.9019607843137256
DS_tags_modelsize100epoch10,Tags only,Neural Net,0.8549222797927462,0.8662420382165605,0.951048951048951,0.9066666666666668
DS_content_tags_modelsize100epoch10,Content and tags,Nearest Neighbors,0.8082901554404145,0.8192771084337349,0.951048951048951,0.8802588996763754
DS_content_tags_modelsize100epoch10,Content and tags,SVM RBF,0.8497409326424871,0.8607594936708861,0.951048951048951,0.903654485049834
DS_content_tags_modelsize100epoch10,Content and tags,Decision Tree,0.7875647668393783,0.8445945945945946,0.8741258741258742,0.8591065292096219
DS_content_tags_modelsize100epoch10,Content and tags,Gaussian Naive Bayes,0.7668393782383419,0.85,0.8321678321678322,0.8409893992932862
DS_content_tags_modelsize100epoch10,Content and tags,Random Forest,0.844559585492228,0.8424242424242424,0.972027972027972,0.9025974025974024
DS_content_tags_modelsize100epoch10,Content and tags,Ensemble,0.8601036269430051,0.8580246913580247,0.972027972027972,0.9114754098360656
DS_content_tags_modelsize100epoch10,Content and tags,Neural Net,0.8549222797927462,0.8807947019867549,0.93006993006993,0.9047619047619048
DS_content_modelsize100epoch11,Content only,Nearest Neighbors,0.8963730569948186,0.9424460431654677,0.916083916083916,0.9290780141843972
DS_content_modelsize100epoch11,Content only,SVM RBF,0.922279792746114,0.9571428571428572,0.9370629370629372,0.9469964664310956
DS_content_modelsize100epoch11,Content only,Decision Tree,0.844559585492228,0.9064748201438848,0.8811188811188811,0.8936170212765958
DS_content_modelsize100epoch11,Content only,Gaussian Naive Bayes,0.8860103626943006,0.8903225806451613,0.965034965034965,0.9261744966442954
DS_content_modelsize100epoch11,Content only,Random Forest,0.844559585492228,0.9064748201438848,0.8811188811188811,0.8936170212765958
DS_content_modelsize100epoch11,Content only,Ensemble,0.9067357512953368,0.9432624113475178,0.93006993006993,0.9366197183098592
DS_content_modelsize100epoch11,Content only,Neural Net,0.8911917098445595,0.8961038961038961,0.965034965034965,0.9292929292929292
DS_tags_modelsize100epoch11,Tags only,Nearest Neighbors,0.9067357512953368,0.8980891719745223,0.986013986013986,0.94
DS_tags_modelsize100epoch11,Tags only,SVM RBF,0.9015544041450776,0.8875,0.993006993006993,0.9372937293729372
DS_tags_modelsize100epoch11,Tags only,Decision Tree,0.9015544041450776,0.9078947368421052,0.965034965034965,0.9355932203389832
DS_tags_modelsize100epoch11,Tags only,Gaussian Naive Bayes,0.917098445595855,0.9096774193548388,0.986013986013986,0.9463087248322148
DS_tags_modelsize100epoch11,Tags only,Random Forest,0.9015544041450776,0.9078947368421052,0.965034965034965,0.9355932203389832
DS_tags_modelsize100epoch11,Tags only,Ensemble,0.911917098445596,0.8987341772151899,0.993006993006993,0.9435215946843856
DS_tags_modelsize100epoch11,Tags only,Neural Net,0.8860103626943006,0.8666666666666667,1.0,0.9285714285714286
DS_content_tags_modelsize100epoch11,Content and tags,Nearest Neighbors,0.9067357512953368,0.9194630872483222,0.958041958041958,0.9383561643835616
DS_content_tags_modelsize100epoch11,Content and tags,SVM RBF,0.9430051813471504,0.9647887323943662,0.958041958041958,0.9614035087719298
DS_content_tags_modelsize100epoch11,Content and tags,Decision Tree,0.8652849740932642,0.8823529411764706,0.944055944055944,0.912162162162162
DS_content_tags_modelsize100epoch11,Content and tags,Gaussian Naive Bayes,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_content_tags_modelsize100epoch11,Content and tags,Random Forest,0.8652849740932642,0.8823529411764706,0.944055944055944,0.912162162162162
DS_content_tags_modelsize100epoch11,Content and tags,Ensemble,0.911917098445596,0.92,0.965034965034965,0.9419795221843004
DS_content_tags_modelsize100epoch11,Content and tags,Neural Net,0.8860103626943006,0.8903225806451613,0.965034965034965,0.9261744966442954
DS_content_modelsize100epoch21,Content only,Nearest Neighbors,0.9067357512953368,0.9370629370629372,0.9370629370629372,0.9370629370629372
DS_content_modelsize100epoch21,Content only,SVM RBF,0.922279792746114,0.9444444444444444,0.951048951048951,0.9477351916376306
DS_content_modelsize100epoch21,Content only,Decision Tree,0.8549222797927462,0.896551724137931,0.9090909090909092,0.9027777777777778
DS_content_modelsize100epoch21,Content only,Gaussian Naive Bayes,0.9015544041450776,0.9078947368421052,0.965034965034965,0.9355932203389832
DS_content_modelsize100epoch21,Content only,Random Forest,0.8549222797927462,0.896551724137931,0.9090909090909092,0.9027777777777778
DS_content_modelsize100epoch21,Content only,Ensemble,0.911917098445596,0.9315068493150684,0.951048951048951,0.9411764705882352
DS_content_modelsize100epoch21,Content only,Neural Net,0.9015544041450776,0.9078947368421052,0.965034965034965,0.9355932203389832
DS_tags_modelsize100epoch21,Tags only,Nearest Neighbors,0.9015544041450776,0.8974358974358975,0.9790209790209792,0.9364548494983278
DS_tags_modelsize100epoch21,Tags only,SVM RBF,0.922279792746114,0.9050632911392406,1.0,0.9501661129568107
DS_tags_modelsize100epoch21,Tags only,Decision Tree,0.8704663212435233,0.9041095890410958,0.9230769230769232,0.9134948096885814
DS_tags_modelsize100epoch21,Tags only,Gaussian Naive Bayes,0.927461139896373,0.9271523178807948,0.9790209790209792,0.9523809523809524
DS_tags_modelsize100epoch21,Tags only,Random Forest,0.8704663212435233,0.9041095890410958,0.9230769230769232,0.9134948096885814
DS_tags_modelsize100epoch21,Tags only,Ensemble,0.9067357512953368,0.9084967320261438,0.972027972027972,0.9391891891891893
DS_tags_modelsize100epoch21,Tags only,Neural Net,0.8756476683937824,0.8562874251497006,1.0,0.9225806451612903
