App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
mantisbt,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.908167770419426,0.9946265448683504,0.903367496339678,0.6645161290322581,0.9468030690537084
mantisbt,DS_content_modelsize100epoch31,Content only,Random Forest,0.919205298013245,0.9537937743190662,0.9570522205954124,0.5694117647058825,0.9554202192448236
mantisbt,DS_content_modelsize100epoch31,Content only,Ensemble,0.9280353200883004,0.970558882235529,0.949243533430942,0.6582809224318659,0.9597828768813226
mantisbt,DS_content_modelsize100epoch31,Content only,Neural Network,0.9386313465783664,0.977022977022977,0.9546120058565154,0.7098121085594989,0.9656874845717108
mantisbt,DS_tags_modelsize100epoch31,Tags only,Dummy,0.8185430463576159,0.9054455445544556,0.892630551488531,0.1084598698481561,0.8989923814204964
mantisbt,DS_tags_modelsize100epoch31,Tags only,Threshold,0.5672402952751322,1.0,0.5672402952751322,0.7238715045615286,0.7238715045615286
mantisbt,DS_tags_modelsize100epoch31,Tags only,Nearest Neighbors,0.9554083885209712,0.9714424007744432,0.9795021961932652,0.7566265060240964,0.9754556500607534
mantisbt,DS_tags_modelsize100epoch31,Tags only,SVM RBF,0.952317880794702,0.9659145463274124,0.981942410932162,0.7286432160804021,0.9738625363020328
mantisbt,DS_tags_modelsize100epoch31,Tags only,Decision Tree,0.939514348785872,0.9654333008763388,0.9677891654465594,0.6791569086651053,0.9666097977089934
mantisbt,DS_tags_modelsize100epoch31,Tags only,Gaussian Naive Bayes,0.8454746136865342,0.9941826643397323,0.8340653977550024,0.5406824146981627,0.907112526539278
mantisbt,DS_tags_modelsize100epoch31,Tags only,Random Forest,0.9403973509933776,0.9650145772594751,0.9692532942898976,0.6808510638297872,0.9671292914536156
mantisbt,DS_tags_modelsize100epoch31,Tags only,Ensemble,0.946578366445916,0.9725490196078432,0.9682772083943388,0.72562358276644,0.9704084128148692
mantisbt,DS_tags_modelsize100epoch31,Tags only,Neural Network,0.904635761589404,0.904635761589404,1.0,0.0,0.9499304589707928
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.8189845474613686,0.9062964799206744,0.8921425085407516,0.1163793103448275,0.8991637973438269
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.5071606548215076,1.0,0.5071606548215076,0.6730014523655018,0.6730014523655018
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.9306843267108168,0.9596695821185616,0.963884821864324,0.6288416075650117,0.9617725833942052
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.904635761589404,0.904635761589404,1.0,0.0,0.9499304589707928
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.9121412803532007,0.9477250726040658,0.9555880917520742,0.5204819277108433,0.951640340218712
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.8997792494481236,0.9983588621444202,0.8906783796974134,0.6523736600306279,0.941449574413206
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.9125827814569536,0.9473175447075882,0.956564177647633,0.5194174757281552,0.9519184069936864
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.9134657836644592,0.9478008699855004,0.9570522205954124,0.5242718446601942,0.9524040796503156
mantisbt,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.904635761589404,0.904635761589404,1.0,0.0,0.9499304589707928
mrbs,DS_content_modelsize100epoch31,Content only,Dummy,0.5262693156732892,0.6281786941580756,0.632088520055325,0.3413136893799877,0.6301275422268183
mrbs,DS_content_modelsize100epoch31,Content only,Threshold,0.430419393149058,1.0,0.430419393149058,0.6018086656410506,0.6018086656410506
mrbs,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.9236203090507726,0.9240506329113924,0.9591977869986168,0.890713834491472,0.9412962334577536
mrbs,DS_content_modelsize100epoch31,Content only,SVM RBF,0.9333333333333332,0.9331103678929766,0.9647302904564315,0.9049716803020768,0.948656919415165
mrbs,DS_content_modelsize100epoch31,Content only,Decision Tree,0.8997792494481236,0.9194769442532692,0.9239280774550483,0.8608215818516247,0.9216971369437736
